series,loading,abs_loading
Puerto Rico Economic Activity Index,0.24440415016356168,0.24440415016356168
Non Farm Employment: Government (Thousands of Persons) - SEASONALLY ADJUSTED,0.23675905310088047,0.23675905310088047
Cement Production (Thousands of 94 pound sacks),0.23631840204652144,0.23631840204652144
"Non Farm Employment: Mining, Logging and Construction (Thousands of Persons)",0.23568738643399623,0.23568738643399623
Labor Force (Thousands of Persons) SEASONALLY ADJUSTED,0.23228272239159353,0.23228272239159353
Non Farm Employment: All Industries (Thousands of Persons) SEASONALLY ADJUSTED,0.23092876661028774,0.23092876661028774
Industrial Electric Power Consumption ( Millions of Kilowatts / Hours),0.23040675812506212,0.23040675812506212
Non Farm Employment: Manufacturing (Thousands of Persons) - SEASONALLY ADJUSTED,0.22345837304411978,0.22345837304411978
Participation Rate (Percent),0.2140405666754709,0.2140405666754709
Non Farm Employment: Information (Thousands of Persons),0.2099409303805911,0.2099409303805911
Non Farm Employment: Other Services (Thousands of Persons),0.20654946039216596,0.20654946039216596
Non Farm Employment: Education and Health Services (Thousands of Persons),-0.20082245539162943,0.20082245539162943
Total Employment (Thousands of Persons) SEASONALLY ADJUSTED,0.19641924828418791,0.19641924828418791
Non Farm Employment: Professional and Business Services (Thousands of Persons),-0.18677968920352056,0.18677968920352056
Civilian Non-Institutionalized Population (Thousands of Persons),0.1796254440891487,0.1796254440891487
Gas Consumption (gallons),0.1678142579181115,0.1678142579181115
"Excise Taxes, Grand Total (Thousand of Dollars)",-0.16729833943067549,0.16729833943067549
Non Farm Employment: Wholesale Trade (Thousands of Persons),0.15037150352217632,0.15037150352217632
Employment in Agriculture (Thousands of Persons),0.14281243684314654,0.14281243684314654
bed_gross_losses,0.1399068558015124,0.1399068558015124
Non Farm Employment: Leisure and Hospitality (Thousands of Persons),-0.1360562168982705,0.1360562168982705
Non Farm Employment: Retail Trade (Thousands of Persons),0.1354441283276716,0.1354441283276716
Unemployment (Thousands of Persons) SEASONALLY ADJUSTED,0.13392663441226926,0.13392663441226926
Total Imports - Thousand Dollars,-0.13222290844707077,0.13222290844707077
Total Bankruptcies in Puerto Rico,0.12743244699964187,0.12743244699964187
Non Farm Employment: Financial Activities (Thousands of Persons),0.11514424815479829,0.11514424815479829
"Non Farm Employment: Trade, Transportation, and Utilities (Thousands of Persons)",0.11070033376490501,0.11070033376490501
bed_gross_gains,0.0968696015688051,0.0968696015688051
ui_continued_claims,0.0849274604057202,0.0849274604057202
Non residents registrations: Hotels and Paradores,-0.08394286219771789,0.08394286219771789
Unemployment Rate (Percent) SEASONALLY ADJUSTED,0.0774633418194668,0.0774633418194668
Total Exports - Thousand Dollars,-0.0702732554712222,0.0702732554712222
Residential Electric Power Consumption (Millions of Kilowatts / Hour),0.06764872212689456,0.06764872212689456
Number of Residential Units Foreclosed,-0.06051740741487031,0.06051740741487031
bed_net_change,-0.05997219843031134,0.05997219843031134
ui_initial_claims,0.056549313255602085,0.056549313255602085
Self - Employed (Thousands of Persons),-0.02745126270503591,0.02745126270503591
Motor Vehicles - Taxes (Thousand of Dollars),-0.02642841868578194,0.02642841868578194
Income Tax (Thousand of Dollars),-0.007461173381277852,0.007461173381277852
Occupancy rate: Hotels and Paradores,0.004228754469668523,0.004228754469668523
